Airline,Date_of_Journey,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Duration_hours,Duration_mins
Airline C,2019-12-06,Delhi,Cochin,DEL → MAA → COK,12h 45m,1,No info,7480,6,12,20,40,9,25,12,45
Airline A,2019-06-18,Banglore,Delhi,BLR → DEL,3h 5m,0,No info,8016,18,6,18,55,22,0,3,5
Airline C,2019-05-18,Delhi,Cochin,DEL → BOM → COK,15h 25m,1,No info,8879,18,5,3,50,19,15,15,25
Airline A,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,12h 15m,1,In-flight meal not included,9663,5,6,20,0,8,15,12,15
Airline A,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,5h 30m,1,In-flight meal not included,9663,5,9,6,30,12,0,5,30
Airline E,2019-06-27,Banglore,Delhi,BLR → DEL,2h 40m,0,No info,3625,27,6,5,55,8,35,2,40
Airline A,2019-03-06,Delhi,Cochin,DEL → NAG → BOM → COK,22h,2,In-flight meal not included,10919,6,3,14,35,12,35,22,0
Airline C,2019-06-24,Kolkata,Banglore,CCU → BLR,2h 30m,0,No info,5510,24,6,14,15,16,45,2,30
Airline A,2019-12-06,Delhi,Cochin,DEL → BHO → BOM → COK,7h 5m,2,No info,14441,6,12,5,30,12,35,7,5
Airline G,2019-09-06,Delhi,Cochin,DEL → BLR → COK,5h 40m,1,No info,13470,6,9,16,45,22,25,5,40
Airline B,2019-05-27,Delhi,Cochin,DEL → BLR → COK,5h 10m,1,No info,6373,27,5,17,5,22,15,5,10
Airline B,2019-03-21,Delhi,Cochin,DEL → HYD → COK,13h 45m,1,No info,6790,21,3,8,35,22,20,13,45
Airline A,2019-01-06,Delhi,Cochin,DEL → BDQ → BOM → COK,18h 10m,2,No info,14237,6,1,18,25,12,35,18,10
Airline A,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,5h 40m,1,In-flight meal not included,9134,15,3,5,45,11,25,5,40
Airline C,2019-03-24,Delhi,Cochin,DEL → BOM → COK,27h 40m,1,No info,8635,24,3,4,0,7,40,27,40
Airline B,2019-09-06,Banglore,Delhi,BLR → DEL,2h 55m,0,No info,4823,6,9,18,55,21,50,2,55
